step,nav_mode,pose_x_m,pose_y_m,pose_theta_deg,frontier_goal_x,frontier_goal_y,frontier_goal_dist,frontier_goal_cell,frontier_candidate_count,frontier_candidates,path_length,path_first_x,path_first_y,icp_pose_x,icp_pose_y,icp_pose_theta_deg,icp_rmse,icp_num_points
1,UNKNOWN,0.2957106781186548,0.29571067811865476,2.7263109939062624,0.675,0.225,0.38582429899270304,1:0,2,1:0;0:0,11,0.24,0.24,0.22500000000000006,0.225,45.0,5.695719441134963e-17,360
2,UNKNOWN,0.3955974918910987,0.3004671930601997,350.80843663021744,0.675,0.225,0.2894150285764893,1:0,4,3:0;2:0;1:0;0:0,11,0.24,0.24,0.2957106781186549,0.29571067811865476,2.726310993906263,1.0778421401705053e-16,360
3,UNKNOWN,0.4943134715303767,0.28449360974718935,348.39345704333044,0.675,0.225,0.19022910179873864,1:0,4,3:0;2:0;1:0;0:0,11,0.24,0.24,0.39559749189109883,0.3004671930601997,350.80843663021744,1.109283738326493e-16,360
4,UNKNOWN,0.592268699619419,0.2643746313928166,347.1903331942598,0.675,0.225,0.09162330304012245,1:0,4,3:0;0:0;2:0;1:0,1,0.69,0.24,0.4943134715303768,0.28449360974718935,348.39345704333044,1.154138426796118e-16,360
5,UNKNOWN,0.6897798957492598,0.24220332946154294,356.88387596343006,1.125,0.225,0.43555997714274386,2:0,4,3:0;0:0;2:0;1:0,11,0.69,0.24,0.5922686996194189,0.2643746313928166,347.1903331942598,1.066173837430161e-16,360
6,UNKNOWN,0.7896320369553237,0.2367673478055531,359.6395414998139,1.125,0.225,0.33557434513250894,2:0,4,3:0;0:0;2:0;1:0,11,0.69,0.24,0.6897798957492597,0.24220332946154288,356.88387596343006,1.2668579564088027e-16,360
7,UNKNOWN,0.8896300580097515,0.23613823319102648,0.528621596412052,1.125,0.225,0.2356333376903842,2:0,4,3:0;0:0;2:0;1:0,11,0.69,0.24,0.7896320369553237,0.23676734780555317,359.6395414998139,6.029810524142564e-17,360
8,UNKNOWN,0.9896258019132873,0.23706083883726206,0.8836739493411628,1.125,0.225,0.13591040188697456,2:0,4,3:0;0:0;2:0;1:0,11,0.69,0.24,0.8896300580097515,0.23613823319102642,0.5286215964120522,5.381457503269999e-17,360
9,UNKNOWN,1.089613908671855,0.23860307968655448,0.37390938471369967,1.5750000000000002,0.225,0.4855766689532902,3:0,4,0:0;1:0;3:0;2:0,11,1.14,0.24,0.9896258019132871,0.237060838837262,0.8836739493411626,2.294304876032709e-16,360
10,UNKNOWN,1.189611779278329,0.23925567004117884,0.22842577432745284,1.5750000000000002,0.225,0.38565179216404344,3:0,4,0:0;1:0;3:0;2:0,11,1.14,0.24,1.0896139086718553,0.23860307968655453,0.3739093847136991,2.2762584579968484e-16,360
11,UNKNOWN,1.2896109845579018,0.23965434717089573,0.12171328410416345,1.5750000000000002,0.225,0.2857650084002858,3:0,4,0:0;1:0;3:0;2:0,11,1.14,0.24,1.1896117792783285,0.2392556700411788,0.2284257743274529,4.47772345834444e-16,360
12,UNKNOWN,1.3896107589259816,0.23986677676622906,48.95238682097982,1.5750000000000002,0.675,0.4729800129686363,3:1,4,0:0;3:1;1:0;2:0,17,1.14,0.24,1.2896109845579011,0.23965434717089557,0.12171328410416853,6.719771827549867e-16,360
13,UNKNOWN,1.4552793560398927,0.315283189788135,56.27024586702101,1.5750000000000002,0.675,0.37911636226786855,3:1,4,0:0;1:0;2:0;3:1,11,1.5899999999999999,0.24,1.389610758925981,0.23986677676622883,48.952386820979825,6.764456949166027e-16,360
14,UNKNOWN,1.5108069953099477,0.39844977729234043,70.22514142122239,1.5750000000000002,0.675,0.2839027430843056,3:1,4,0:0;1:0;2:0;3:1,11,1.5899999999999999,0.24,1.4552793560398927,0.315283189788135,56.270245867021,9.03570965400564e-17,360
15,UNKNOWN,1.5446394981720557,0.4925527089686992,74.80355737608461,1.5750000000000002,0.675,0.18495614095213173,3:1,4,0:0;1:0;2:1;3:1,11,1.5899999999999999,0.24,1.5108069953099474,0.3984497772923405,70.22514142122239,2.280792153471129e-16,360
16,UNKNOWN,1.5708524243983975,0.5890559861081432,77.06167107286697,1.5750000000000002,0.675,0.08604403469860467,3:1,4,0:0;1:1;2:1;3:1,1,1.5899999999999999,0.69,1.5446394981720555,0.49255270896869907,74.80355737608461,2.4795001785193906e-16,360
17,UNKNOWN,1.5932426392067187,0.6865171490441417,160.23054153242626,1.125,0.675,0.4683842588018713,2:1,4,0:1;1:1;2:1;3:1,11,1.5899999999999999,0.69,1.5708524243983975,0.5890559861081432,77.06167107286697,1.1015835548159131e-17,360
18,UNKNOWN,1.499136519244386,0.720340782580989,179.34196626471493,1.125,0.675,0.3768738802270082,2:1,4,0:1;1:1;2:1;3:1,11,1.5899999999999999,0.69,1.5932426392067192,0.6865171490441417,160.23054153242626,4.445042032644179e-16,360
19,UNKNOWN,1.3991431142669224,0.7214892428602437,185.6054488381669,1.125,0.675,0.2780570027920275,2:1,4,0:1;1:1;2:1;3:1,11,1.5899999999999999,0.69,1.4991365192443857,0.720340782580989,179.34196626471493,2.2167201192590398e-16,360
20,UNKNOWN,1.2996213027337817,0.7117214882993337,186.92821284298222,1.125,0.675,0.17844065420010416,2:1,4,0:1;1:1;2:1;3:1,11,1.5899999999999999,0.69,1.3991431142669217,0.7214892428602436,185.6054488381669,6.753910200429127e-16,360
21,UNKNOWN,1.2003514961980828,0.6996589218077065,187.74928895534833,1.125,0.675,0.07928373353978901,2:1,4,0:1;1:1;3:1;2:1,1,1.14,0.69,1.2996213027337817,0.7117214882993335,186.92821284298222,1.3532937221434201e-16,360
22,UNKNOWN,1.101264739116073,0.6861750584529173,181.5353980236598,0.675,0.675,0.4264111979593405,1:1,4,0:1;1:1;3:1;2:1,11,1.14,0.69,1.2003514961980837,0.6996589218077067,187.74928895534833,9.228256251276965e-16,360
23,UNKNOWN,1.0013006429399007,0.683495604090355,179.39339549235675,0.675,0.675,0.3264112205054425,1:1,4,0:1;1:1;3:1;2:1,11,1.14,0.69,1.1012647391160726,0.6861750584529172,181.5353980236598,4.664144407047121e-16,360
24,UNKNOWN,0.9013062473763546,0.6845543089033469,178.80302137586398,0.675,0.675,0.22650784185142098,1:1,4,0:1;1:1;3:1;2:1,11,1.14,0.69,1.0013006429399007,0.683495604090355,179.39339549235675,2.0267538208235337e-17,360
25,UNKNOWN,0.8013280687323056,0.6866432787496174,178.52372530201438,0.675,0.675,0.1268634970733323,1:1,4,0:1;1:1;3:1;2:1,11,1.14,0.69,0.9013062473763546,0.6845543089033468,178.80302137586398,1.1210950112191327e-16,360
26,UNKNOWN,0.7013612608579353,0.6892195790831928,179.5324372295428,0.225,0.675,0.4765734437371275,0:1,4,3:1;0:1;2:1;1:1,11,0.69,0.69,0.8013280687323053,0.6866432787496173,178.52372530201438,2.476128298871096e-16,360
27,UNKNOWN,0.6013645905354705,0.6900356210063066,179.8563895488654,0.225,0.675,0.37666480444551453,0:1,4,3:1;0:1;2:1;1:1,11,0.69,0.69,0.7013612608579354,0.689219579083193,179.5324372295428,2.468287256673005e-16,360
28,UNKNOWN,0.5013649046562055,0.6902862682651186,159.4984062006705,0.225,1.125,0.5151248286430193,0:2,4,0:2;3:1;2:1;1:1,18,0.69,0.69,0.6013645905354704,0.6900356210063067,179.8563895488654,1.576462668451341e-16,360
29,UNKNOWN,0.4076986599410855,0.7253096119228454,139.15755711415812,0.225,1.125,0.4394669574217553,0:2,4,0:2;3:1;2:1;1:1,18,0.69,0.69,0.5013649046562056,0.6902862682651186,159.4984062006705,1.0393870752864984e-16,360
30,UNKNOWN,0.3320475784551181,0.7907077301679717,118.05317513980319,0.225,1.125,0.35101354065413815,0:2,4,3:1;2:1;0:2;1:1,11,0.24,0.69,0.4076986599410855,0.7253096119228454,139.15755711415812,5.488663128588978e-17,360
31,UNKNOWN,0.28501849769458953,0.8789588806580344,104.76328344571112,0.225,1.125,0.25325570570583955,0:2,4,3:1;2:1;0:2;1:1,11,0.24,0.69,0.3320475784551181,0.7907077301679718,118.05317513980319,1.1946936732522862e-16,360
32,UNKNOWN,0.25953588357861285,0.9756575692624627,99.78483869805773,0.225,1.125,0.15328368756378358,0:2,4,2:2;3:1;1:2;0:2,11,0.24,0.69,0.28501849769458953,0.8789588806580342,104.76328344571112,2.220446049250313e-16,360
33,UNKNOWN,0.24254100959302896,1.0742028596532984,30.368851691397353,1.125,1.125,0.8839198036120093,2:2,4,3:2;2:2;1:2;0:2,19,0.24,1.14,0.2595358835786129,0.9756575692624628,99.78483869805773,1.2725930578993516e-16,360
34,UNKNOWN,0.32881987381377487,1.1247593388501147,12.472838049203068,1.125,1.125,0.7961801625585144,2:2,4,3:2;2:2;1:2;0:2,19,0.24,1.14,0.24254100959302902,1.0742028596532984,30.368851691397353,6.690665007139193e-17,360
35,UNKNOWN,0.4264597242096286,1.1463570149907394,2.4162675900944404,1.125,1.125,0.698866681843256,2:2,4,3:2;2:2;1:2;0:2,19,0.24,1.14,0.32881987381377487,1.1247593388501147,12.472838049203066,2.6861153496942798e-17,360
36,UNKNOWN,0.5263708142462932,1.1505729475904733,358.8384897851772,1.125,1.125,0.5991751644424285,2:2,4,3:2;2:2;1:2;0:2,19,0.24,1.14,0.4264597242096285,1.1463570149907396,2.4162675900944404,2.2846927609777866e-16,360
37,UNKNOWN,0.626350266890869,1.1485458686845007,358.82074510432466,1.125,1.125,0.49920533276590234,2:2,4,3:2;0:2;2:2;1:2,11,0.69,1.14,0.5263708142462933,1.1505729475904733,358.8384897851772,1.2299333528370428e-16,360
38,UNKNOWN,0.726329086948007,1.1464878259292584,358.8164562353938,1.125,1.125,0.39924957555002594,2:2,4,3:2;0:2;2:2;1:2,11,0.69,1.14,0.6263502668908689,1.1485458686845007,358.82074510432466,1.127467209136158e-16,360
39,UNKNOWN,0.8263077526704901,1.1444222992768076,358.8150892129397,1.125,1.125,0.2993230434229063,2:2,4,3:2;0:2;2:2;1:2,11,0.69,1.14,0.726329086948007,1.1464878259292581,358.8164562353938,2.221645688528e-16,360
40,UNKNOWN,0.9262863690830276,1.1423543872296835,359.19232208378827,1.125,1.125,0.19947000242724347,2:2,4,3:2;0:2;2:2;1:2,11,0.69,1.14,0.8263077526704898,1.1444222992768076,358.8150892129397,2.27582637259748e-16,360
41,UNKNOWN,1.0262764334860972,1.1409447700228126,359.3688236252895,1.125,1.125,0.10000289133972763,2:2,4,0:2;1:2;3:2;2:2,1,1.14,1.14,0.9262863690830272,1.1423543872296833,359.19232208378827,4.988696969322729e-16,360
42,UNKNOWN,1.1262703658179996,1.139843181713644,359.8691608474696,1.5750000000000002,1.125,0.44897506014977756,3:2,4,0:2;1:2;3:2;2:2,11,1.14,1.14,1.026276433486097,1.1409447700228126,359.3688236252895,2.2567569760149143e-16,360
43,UNKNOWN,1.226270105082602,1.1396148245118962,0.028639389561600007,1.5750000000000002,1.125,0.3490360048828962,3:2,4,0:2;1:2;3:2;2:2,11,1.14,1.14,1.1262703658179998,1.139843181713644,359.8691608474696,2.475078013808656e-16,360
44,UNKNOWN,1.3262700925900186,1.1396648096741757,35.38377349921004,1.5750000000000002,1.5750000000000002,0.5013813865474065,3:3,4,0:2;3:3;1:2;2:2,17,1.14,1.14,1.2262701050826017,1.139614824511896,0.028639389561598082,3.15772051530686e-16,360
45,UNKNOWN,1.4077992744763068,1.197569839688437,56.31345355265601,1.5750000000000002,1.5750000000000002,0.4128069870150718,3:3,4,0:2;3:3;1:2;2:2,17,1.14,1.14,1.3262700925900186,1.1396648096741755,35.38377349921004,2.220989213279608e-16,360
46,UNKNOWN,1.463264180677644,1.2807782778427304,64.68590452893933,1.5750000000000002,1.5750000000000002,0.31472418894776405,3:3,4,0:2;3:3;1:2;2:2,17,1.14,1.14,1.4077992744763068,1.197569839688437,56.31345355265601,7.43382929444332e-18,360
47,UNKNOWN,1.5060222072728515,1.3711760165405735,69.64297555761951,1.5750000000000002,1.5750000000000002,0.2151793487367645,3:3,4,0:2;3:3;1:2;2:2,17,1.14,1.14,1.4632641806776439,1.2807782778427304,64.68590452893933,2.3172295678810885e-16,360
48,UNKNOWN,1.540809099966823,1.4649303342902007,69.00476160720451,1.5750000000000002,1.5750000000000002,0.11525775008452026,3:3,4,0:2;3:3;1:2;2:2,17,1.14,1.14,1.5060222072728513,1.3711760165405733,69.64297555761951,3.137587492896666e-16,360
49,UNKNOWN,1.5766381362099375,1.5582913548602957,68.52988872427377,1.5750000000000002,1.5750000000000002,0.016788755541935752,3:3,4,0:2;3:3;1:2;2:2,17,1.14,1.14,1.5408090999668231,1.4649303342902011,69.00476160720451,4.967205230829333e-16,360
50,UNKNOWN,1.5892323654601352,1.5903126441868254,67.14968669378571,1.5750000000000002,1.5750000000000002,0.020905437057932023,3:3,4,0:2;3:3;1:2;2:2,17,1.14,1.14,1.576638136209938,1.5582913548602957,68.52988872427377,4.441616252628427e-16,360
