step,x_m,y_m,theta_deg,mode
1,0.2957106781186548,0.29571067811865476,2.7263109939062624,GOALSEEKING
2,0.3955974918910987,0.3004671930601997,350.80843663021744,GOALSEEKING
3,0.4943134715303767,0.28449360974718935,348.39345704333044,GOALSEEKING
4,0.592268699619419,0.2643746313928166,347.1903331942598,GOALSEEKING
5,0.6897798957492598,0.24220332946154294,356.88387596343006,GOALSEEKING
6,0.7896320369553237,0.2367673478055531,359.6395414998139,GOALSEEKING
7,0.8896300580097515,0.23613823319102648,0.528621596412052,GOALSEEKING
8,0.9896258019132873,0.23706083883726206,0.8836739493411628,GOALSEEKING
9,1.089613908671855,0.23860307968655448,0.37390938471369967,GOALSEEKING
10,1.189611779278329,0.23925567004117884,0.22842577432745284,GOALSEEKING
11,1.2896109845579018,0.23965434717089573,0.12171328410416345,GOALSEEKING
12,1.3896107589259816,0.23986677676622906,48.95238682097982,GOALSEEKING
13,1.4552793560398927,0.315283189788135,56.27024586702101,GOALSEEKING
14,1.5108069953099477,0.39844977729234043,70.22514142122239,GOALSEEKING
15,1.5446394981720557,0.4925527089686992,74.80355737608461,GOALSEEKING
16,1.5708524243983975,0.5890559861081432,77.06167107286697,GOALSEEKING
17,1.5932426392067187,0.6865171490441417,160.23054153242626,GOALSEEKING
18,1.499136519244386,0.720340782580989,179.34196626471493,GOALSEEKING
19,1.3991431142669224,0.7214892428602437,185.6054488381669,GOALSEEKING
20,1.2996213027337817,0.7117214882993337,186.92821284298222,GOALSEEKING
21,1.2003514961980828,0.6996589218077065,187.74928895534833,GOALSEEKING
22,1.101264739116073,0.6861750584529173,181.5353980236598,GOALSEEKING
23,1.0013006429399007,0.683495604090355,179.39339549235675,GOALSEEKING
24,0.9013062473763546,0.6845543089033469,178.80302137586398,GOALSEEKING
25,0.8013280687323056,0.6866432787496174,178.52372530201438,GOALSEEKING
26,0.7013612608579353,0.6892195790831928,179.5324372295428,GOALSEEKING
27,0.6013645905354705,0.6900356210063066,179.8563895488654,GOALSEEKING
28,0.5013649046562055,0.6902862682651186,159.4984062006705,GOALSEEKING
29,0.4076986599410855,0.7253096119228454,139.15755711415812,GOALSEEKING
30,0.3320475784551181,0.7907077301679717,118.05317513980319,GOALSEEKING
31,0.28501849769458953,0.8789588806580344,104.76328344571112,GOALSEEKING
32,0.25953588357861285,0.9756575692624627,99.78483869805773,GOALSEEKING
33,0.24254100959302896,1.0742028596532984,30.368851691397353,GOALSEEKING
34,0.32881987381377487,1.1247593388501147,12.472838049203068,GOALSEEKING
35,0.4264597242096286,1.1463570149907394,2.4162675900944404,GOALSEEKING
36,0.5263708142462932,1.1505729475904733,358.8384897851772,GOALSEEKING
37,0.626350266890869,1.1485458686845007,358.82074510432466,GOALSEEKING
38,0.726329086948007,1.1464878259292584,358.8164562353938,GOALSEEKING
39,0.8263077526704901,1.1444222992768076,358.8150892129397,GOALSEEKING
40,0.9262863690830276,1.1423543872296835,359.19232208378827,GOALSEEKING
41,1.0262764334860972,1.1409447700228126,359.3688236252895,GOALSEEKING
42,1.1262703658179996,1.139843181713644,359.8691608474696,GOALSEEKING
43,1.226270105082602,1.1396148245118962,0.028639389561600007,GOALSEEKING
44,1.3262700925900186,1.1396648096741757,35.38377349921004,GOALSEEKING
45,1.4077992744763068,1.197569839688437,56.31345355265601,GOALSEEKING
46,1.463264180677644,1.2807782778427304,64.68590452893933,GOALSEEKING
47,1.5060222072728515,1.3711760165405735,69.64297555761951,GOALSEEKING
48,1.540809099966823,1.4649303342902007,69.00476160720451,GOALSEEKING
49,1.5766381362099375,1.5582913548602957,68.52988872427377,GOALSEEKING
50,1.5892323654601352,1.5903126441868254,67.14968669378571,GOALSEEKING
